Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Chemical Synaptic Transmission (GO:0007268)	103/260	3.090228e-13	1.344249e-09	0	0	2.648477e+00	7.629034e+01	CHRM2;CHRM4;CHRM5;HTR4;CRHBP;NPPC;HTR7;MPZ;KIF5A;CHRNB2;UNC13C;CHRNB4;NPFF;GABRG2;GABRG1;SLC5A7;CACNB2;CACNB4;KCNQ2;AMPH;GRIA1;BRSK1;GRIA2;CHRNA3;CHRNA4;CACNA1B;SLC1A2;CACNA1A;SLC1A6;GABARAP;GRIN2A;HRH3;KCNMB1;PENK;KCNMB4;KCNN1;NPTX1;NTSR1;GRIA3;GRIA4;SYT5;DTNA;HTR1E;PRG2;SYT9;SYT6;PCDHB2;PXMP2;PCDHB6;PCDHB5;PCDHB4;MYCBPAP;SCN2B;SNAP25;GRIK5;GRIK3;HTR2B;GRIK1;HTR2A;SLC6A1;HAPLN4;DLGAP2;SLC18A3;GRID2;SLC32A1;KCND3;GRID1;HTR3E;HTR3A;HTR3B;SYN2;CORT;SNPH;HAP1;RAPSN;NLGN3;NRXN1;NRXN2;PTCHD1;NPY;SNCG;SLC17A7;SLC17A8;SNCB;PDLIM4;SNCA;GABRA1;MPP2;RIC3;GABBR1;SLC12A4;KCNIP1;GABRA5;KCNIP2;HTR5A;RIT2;GLRB;SST;SYT10;PLP1;PDE7B;CBLN2;KCNK3
GO_Biological_Process_2025	Muscle Contraction (GO:0006936)	51/97	1.208095e-12	2.627606e-09	0	0	4.448184e+00	1.220670e+02	RYR1;RYR2;LMOD1;ADRA1A;SLC8A1;RYR3;MYLK;LMOD2;SGCA;ANKRD2;SNTA1;CHRNB2;NANOS1;TMOD1;KCND3;TPM2;TMOD2;TPM1;TACR2;KLHL41;TRDN;MYH1;MYH2;MYH3;MYL1;MYOT;CASQ2;SCN4A;CRYAB;MYH6;MYH7;HCN4;SMPX;CACNA1H;PABPN1;GALR2;MYH13;APBB1;DTNA;KCNIP1;KCNIP2;TPCN2;GNAO1;P2RX6;SMTN;DES;SLMAP;FXYD1;HRC;SSPN;TCAP
GO_Biological_Process_2025	Anterograde Trans-Synaptic Signaling (GO:0098916)	80/189	2.482935e-12	3.600256e-09	0	0	2.954585e+00	7.895117e+01	CHRM2;SNAP25;CHRM4;GRIK5;CHRM5;HTR2B;GRIK1;HTR2A;HTR4;SLC6A1;NPPC;HTR7;MPZ;KIF5A;SLC18A3;CHRNB2;UNC13C;CHRNB4;KCND3;NPFF;HTR3E;HTR3A;HTR3B;SYN2;CACNB2;CORT;CACNB4;KCNQ2;AMPH;HAP1;RAPSN;GRIA1;NLGN3;GRIA2;CHRNA4;NRXN1;CACNA1B;SLC1A2;CACNA1A;NRXN2;SLC1A6;GABARAP;GRIN2A;HRH3;PTCHD1;KCNMB1;NPY;PENK;KCNMB4;KCNN1;SNCG;NPTX1;SNCB;NTSR1;SNCA;SYT5;MPP2;SLC12A4;DTNA;HTR1E;KCNIP1;KCNIP2;PRG2;SYT9;HTR5A;SYT6;RIT2;PCDHB2;GLRB;SST;SYT10;PXMP2;PCDHB6;PLP1;PCDHB5;MYCBPAP;PCDHB4;PDE7B;KCNK3;SCN2B
GO_Biological_Process_2025	Cardiac Muscle Cell Action Potential (GO:0086001)	25/37	5.194788e-10	5.649331e-07	0	0	8.321866e+00	1.779065e+02	HCN4;KCNE1;KCNE2;ATP1A4;ATP1A2;CACNA1C;SLC4A3;SLC8A1;CACNA1G;SCN11A;SCN9A;SCN7A;DMD;SCN3B;SCN3A;SCN1B;SCN1A;KCNH2;KCND3;KCNIP2;CACNA2D1;SCN4A;FGF12;SCN4B;SCN2B
GO_Biological_Process_2025	Myofibril Assembly (GO:0030239)	30/51	1.470511e-09	1.279344e-06	0	0	5.710349e+00	1.161351e+02	MYOM1;LMOD1;LMOD2;CSRP3;CSRP2;CSRP1;ANKRD1;CAPN3;PGM5;FLNC;MYOZ1;MYOZ2;MYBPC3;TMOD1;PDGFRA;MYBPC1;ACTN2;TMOD2;TPM1;CFLAR;KLHL41;MYH3;OBSCN;MYL2;TNNT3;TCAP;CASQ1;MYL9;OBSL1;MYH6
GO_Biological_Process_2025	Regulation of Heart Contraction (GO:0008016)	35/70	2.223613e-08	1.612120e-05	0	0	3.998746e+00	7.046409e+01	HCN4;RYR2;SPTBN4;HSPB7;ATP1A2;CACNA1C;SLC4A3;SLC8A1;CACNA1H;SLC8A2;PLN;ADORA3;SCN1B;NANOS1;CAV3;DMPK;KCNIP1;KCND3;KCNIP2;PDE4D;TRPC1;TPM1;ATP2B4;ATP2B3;ANK2;FOXN4;TBX2;SLC8A3;DES;RNF207;FXYD1;HRC;SCN4B;MYH6;SCN2B
GO_Biological_Process_2025	Cardiac Muscle Cell Action Potential Involved in Contraction (GO:0086002)	23/37	2.825239e-08	1.755684e-05	0	0	6.558282e+00	1.139966e+02	KCNH2;RYR2;KCNE1;KCNE2;CAV3;KCNE4;CACNA2D1;ATP1A4;KCNA5;CACNA1C;CACNA1G;SCN11A;SCN9A;SCN7A;SCN4A;SCN3B;SCN3A;FGF12;SCN4B;SCN1B;SCN1A;SNTA1;SCN2B
GO_Biological_Process_2025	Synapse Organization (GO:0050808)	57/144	5.923524e-08	3.220916e-05	0	0	2.625812e+00	4.369811e+01	PTPRS;CTNND2;LRRK2;SLC6A1;SLC8A2;CDH2;DNER;HMCN2;PPFIA4;PPFIA2;KIRREL3;DSCAM;MUSK;ANK3;SYN2;CACNB2;MYOT;CDH10;IL1RAPL1;MAPT;PDZRN3;SHANK3;NLGN3;GPM6A;NLGN1;NLGN2;NRXN1;NRXN2;SEMA3E;PDZD2;SLITRK2;SLITRK1;SLITRK3;SLITRK5;SNCG;LRRC4C;SNCB;PLXNA4;LRRC4B;SNCA;NLGN4X;CNTN6;L1CAM;KY;SLC8A3;SDK1;LRFN5;PCDHB2;PCDHB6;PLXNB3;CNTN2;PCDHB5;PCDHB4;CNTN4;CBLN3;CBLN2;ADGRL3
GO_Biological_Process_2025	Heart Contraction (GO:0060047)	24/41	7.388557e-08	3.571136e-05	0	0	5.636112e+00	9.254918e+01	KCNH2;MYBPC3;RYR2;TPM1;ATP1A2;SGCZ;SLC8A1;TRDN;CSRP3;SGCD;ACTC1;MYL7;MYL2;CASQ2;RANGRF;TCAP;DMD;SCN3B;SCN4B;SCN1B;SGCG;MYH6;MYH7;SCN2B
GO_Biological_Process_2025	Muscle Organ Development (GO:0007517)	30/58	8.375487e-08	3.643337e-05	0	0	4.280883e+00	6.975858e+01	CHODL;CTF1;MSTN;CFH;LAMA2;TCF21;CACNA1H;SGCE;SGCD;SGCA;CAPN3;SPEG;DMD;SGCG;TBX1;MEF2C;MEF2B;DSCAM;CAV3;IGF1;KY;POU6F1;SMTN;EVC;MYH3;DES;ITGA7;ITGB1BP2;MKX;MYH6
