Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Calcium signaling pathway	95/240	2.697251e-12	8.334507e-10	0	0	2.641544e+00	7.036754e+01	RET;RYR1;CHRM2;RYR2;CALML5;FLT4;CHRM5;HTR2B;ADRA1D;CALML4;HTR2A;HTR4;FGF1;FGF2;ADRA1A;RYR3;SLC8A1;MYLK;SLC8A2;FGF5;FGF7;EDNRB;HTR7;CCKAR;FGF9;NOS1;PDGFRA;LHCGR;AVPR1B;PRKCB;TACR2;TACR3;AVPR1A;TACR1;NGF;TRDN;ITPKB;ADRB3;CCKBR;LTB4R2;ADORA2A;ORAI3;AGTR1;CASQ2;CASQ1;SLC25A4;CAMK2B;PTGFR;PDE1C;PDE1B;PDE1A;PTGER3;CAMK2A;ADCY4;CACNA1B;ITPR1;CACNA1A;ADCY2;ADRB1;ADRB2;CACNA1C;CACNA1H;CACNA1G;CACNA1I;GRIN2A;PPP3R2;PLN;PHKG1;ERBB4;CAMK2G;NTSR1;FGF22;NTRK1;MCOLN3;NTRK3;ATP2B4;ATP2B3;ATP2B2;HTR5A;TPCN2;SLC8A3;FGF17;P2RX7;FGF16;P2RX6;GNAL;GDNF;P2RX2;P2RX1;HRC;CAMK1;PLCD4;FGFR2;FGF10;FGFR1
KEGG_2021_Human	Neuroactive ligand-receptor interaction	117/341	4.644842e-10	7.176281e-08	0	0	2.107209e+00	4.528412e+01	CHRM2;VIPR2;CHRM4;CHRM5;NPY2R;HTR4;NR3C1;EDNRB;HTR7;ADORA3;LEPR;CHRNB2;CHRNB4;LHCGR;NPFF;NPY1R;GABRG2;GABRG1;UTS2B;ADCYAP1;LTB4R2;AGTR1;AGTR2;GRIA1;PTGFR;GRIA2;ADCYAP1R1;CHRNA3;GIPR;CHRNA4;LPAR1;ADRB1;LPAR4;ADRB2;CRHR1;MCHR2;CRHR2;GRIN2A;HRH3;GALR2;GALR1;PENK;CGA;NTSR1;GRIA3;NTSR2;GRIA4;HTR1E;NMBR;TRPV1;GH1;PYY;MC1R;GNRH1;THRB;GRIK5;MLNR;GRIK3;HTR2B;GRIK1;ADRA1D;GRIK2;PRL;PTH1R;HTR2A;ADRA1A;GHR;CCKAR;GRM6;PRLHR;CTSG;TSHB;GRID2;PTGIR;AVPR1B;GRID1;AVPR2;GLP2R;TACR2;TACR3;AVPR1A;TACR1;SSTR2;ADRA2B;SSTR4;CORT;ADRB3;CCKBR;ADORA2A;FSHR;PTGER3;OPRL1;P2RY4;CNR1;NPY;P2RY1;S1PR1;S1PR3;GPR156;GABRA1;GABBR1;P2RY11;GABRA5;GCGR;P2RY14;GCG;CCK;HTR5A;P2RX7;POMC;P2RX6;GLRB;P2RX2;SST;LEP;P2RX1;VIP
KEGG_2021_Human	Circadian entrainment	42/97	1.751216e-07	1.803752e-05	0	0	3.055121e+00	4.753092e+01	GRIA1;RYR1;CAMK2B;GRIA2;RYR2;ADCYAP1R1;CALML5;CAMK2A;ITPR1;ADCY4;ADCY2;CALML4;CACNA1C;CACNA1H;RYR3;GNAI1;CACNA1G;ADCY5;CACNA1I;GNG10;GRIN2A;GNG3;RPS6KA5;GNG2;GNG5;GNG7;PRKG2;GNG8;NOS1;CAMK2G;GRIA3;PRKG1;GRIA4;PRKCB;KCNJ9;GNG11;GNAO1;ADCYAP1;PER1;PER3;GNB3;GNB5
KEGG_2021_Human	cGMP-PKG signaling pathway	62/167	2.480811e-07	1.916426e-05	0	0	2.366825e+00	3.599826e+01	CALML5;PDE3B;IRS4;ADRA1D;CALML4;ADRA1A;SLC8A1;MYLK;SLC8A2;NPPB;NPPC;RGS2;EDNRB;ADORA3;NPPA;PRKG2;PRKG1;MEF2C;MEF2B;PPP1R12A;TRPC6;ATP1B2;ADRA2B;ADRB3;KCNMA1;AGTR1;PDE5A;RAF1;MYL9;SLC25A4;MYH6;CNGB1;MYH7;NPR1;NPR2;ITPR1;ADCY4;ATP1A4;ATP1A3;ADRB1;ADCY2;ATP1A2;ADRB2;CACNA1C;GNAI1;ADCY5;INS;PPP3R2;PLN;KCNMB1;KCNMB2;KCNMB4;KCNJ8;PDE2A;ATP2B4;ATP2B3;NFATC1;ATP2B2;NFATC4;SLC8A3;FXYD2;PDE3A
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	53/150	9.633272e-06	5.953362e-04	0	0	2.186255e+00	2.525188e+01	RYR2;CALML5;ADRA1D;CALML4;ADRA1A;SLC8A1;SLC8A2;RPS6KA5;SCN1B;CACNA2D1;TPM2;TPM1;CACNA2D3;ATP1B2;CACNB2;CACNB4;MYL2;AGTR1;AGTR2;SCN4B;MYH6;RAPGEF3;MYH7;CAMK2B;KCNE1;CAMK2A;ADCY4;ATP1A4;ATP1A3;ADRB1;ADCY2;ATP1A2;ADRB2;CACNA1C;GNAI1;ADCY5;CACNG7;PLN;SCN7A;CACNG2;CACNG3;CAMK2G;ATP2B4;ATP2B3;ATP2B2;PPP2R3A;SLC8A3;MAPK11;ACTC1;PPP1R1A;PPP2R2B;FXYD2;BCL2
KEGG_2021_Human	Dilated cardiomyopathy	37/96	2.379024e-05	1.117888e-03	0	0	2.505170e+00	2.667063e+01	RYR2;LAMA2;ITGB3;ITGA2B;ADCY4;ADCY2;ADRB1;CACNA1C;SLC8A1;SLC8A2;ADCY5;TTN;CACNG7;SGCD;PLN;SGCA;DMD;CACNG2;CACNG3;SGCG;MYBPC3;CACNA2D1;TPM2;TPM1;CACNA2D3;IGF1;SLC8A3;CACNB2;CACNB4;ACTC1;DES;MYL2;ITGA10;ITGA8;ITGA7;MYH6;MYH7
KEGG_2021_Human	cAMP signaling pathway	69/216	2.532432e-05	1.117888e-03	0	0	1.879807e+00	1.989540e+01	CHRM2;RYR2;VIPR2;CALML5;PDE3B;CALML4;HTR4;GLI3;NPPA;CNGA3;TSHB;LHCGR;PPP1R12A;PDE4D;PDE4C;NPY1R;ATP1B2;SSTR2;TIAM1;ADCYAP1;ADORA2A;FSHR;RAF1;MYL9;RAPGEF3;CNGB1;GRIA1;CAMK2B;HCN4;GRIA2;ADCYAP1R1;GIPR;NPR1;PTGER3;CAMK2A;ADCY4;ATP1A4;ATP1A3;PIK3R2;ADCY2;ADRB1;ATP1A2;PIK3R1;ADRB2;CACNA1C;GNAI1;ADCY5;GRIN2A;RAP1A;PLN;NPY;CGA;CAMK2G;GRIA3;GRIA4;GABBR1;HTR1E;ATP2B4;ATP2B3;NFATC1;GCG;ATP2B2;MAPK10;POMC;SST;FXYD2;FXYD1;PDE3A;VIP
KEGG_2021_Human	Hypertrophic cardiomyopathy	35/90	3.129191e-05	1.208650e-03	0	0	2.541464e+00	2.636045e+01	RYR2;PRKAA2;LAMA2;ITGB3;ITGA2B;CACNA1C;PRKAG3;SLC8A1;SLC8A2;TTN;CACNG7;SGCD;SGCA;DMD;CACNG2;CACNG3;SGCG;MYBPC3;PRKAB2;CACNA2D1;TPM2;TPM1;CACNA2D3;IGF1;SLC8A3;CACNB2;CACNB4;ACTC1;DES;MYL2;ITGA10;ITGA8;ITGA7;MYH6;MYH7
KEGG_2021_Human	Pancreatic secretion	38/102	4.500922e-05	1.545317e-03	0	0	2.371721e+00	2.373771e+01	CELA3A;RYR2;CELA3B;CPB1;AMY2A;AMY2B;PLA2G1B;ITPR1;ADCY4;ATP1A4;ATP1A3;ADCY2;ATP1A2;PLA2G5;SLC4A4;ADCY5;RAP1A;CCKAR;CA2;CLCA4;CPA1;CELA2A;PRKCB;PLA2G2C;AMY1B;CTRB2;TRPC1;CTRB1;ATP2B4;ATP2B3;ATP2B2;CCK;ATP1B2;TPCN2;CTRL;FXYD2;KCNMA1;PNLIP
KEGG_2021_Human	Regulation of lipolysis in adipocytes	24/55	6.324613e-05	1.954305e-03	0	0	3.088060e+00	2.985684e+01	NPR1;PDE3B;PTGER3;IRS4;NPY1R;ADCY4;ADCY2;ADRB1;PIK3R2;ADRB2;PIK3R1;GNAI1;ADCY5;INS;PTGS1;FABP4;ADRB3;NPY;NPPA;PRKG2;PLIN1;CGA;PRKG1;TSHB
