Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Human	Striated Muscle Contraction Pathway WP383	22/38	3.391494e-07	1.445810e-04	0	0	5.486937e+00	8.173795e+01	MYBPC3;TMOD1;MYOM1;MYBPC1;ACTN3;ACTN2;TPM2;TPM1;TTN;ACTA2;ACTA1;ACTC1;DES;MYH3;MYL1;MYL2;TNNT3;TCAP;DMD;VIM;MYL9;MYH6
WikiPathways_2024_Human	Calcium Regulation In Cardiac Cells WP536	57/151	3.934176e-07	1.445810e-04	0	0	2.429202e+00	3.582683e+01	CHRM2;RYR1;RYR2;CHRM4;CHRM5;ADRA1D;ADRA1A;SLC8A1;RYR3;RGS5;RGS2;GJA9;RGS9;RGS6;PRKCB;ATP1B2;GJD2;ADRB3;CASQ2;PRKD1;CASQ1;CAMK2B;GNAZ;CAMK2A;CACNA1B;ITPR1;ADCY4;ATP1A4;CACNA1A;ADRB1;ADCY2;CACNA1C;ADRB2;GNAI1;ADCY5;GJC1;GNG3;GNG2;PLN;GNG5;PRKAR2B;GNG7;GNG8;CAMK2G;KCNB1;ATP2B3;ATP2B2;GNG11;GNAO1;SLC8A3;FXYD2;RGS10;GNB3;GNB5;CAMK1;RGS11;PKIG
WikiPathways_2024_Human	Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	53/157	4.100845e-05	1.004707e-02	0	0	2.038205e+00	2.058940e+01	CHRM2;RET;SNAP25;RYR2;VIPR2;THRB;AQP4;RORA;HTR2A;NR3C1;C4B;SOX2;C4A;IL6R;SNTA1;CHRNB2;KCNH2;CHRNB4;MEF2C;HTR3A;TACR1;NGF;SSTR2;AR;ADCYAP1;LMX1B;ALDOA;SLC25A4;SCN4B;VAMP2;TPH2;ADCYAP1R1;TPH1;CHRNA4;CHAT;ATP1A3;HDAC9;MAP2;PRKAR2B;TPPP;SCN3B;PPARGC1B;GABRA1;CAV3;KCNJ8;POU2F2;PHOX2B;GCK;PHOX2A;TF;SST;PLP1;GNB3
WikiPathways_2024_Human	NRXN1 Deletion Syndrome WP5398	11/17	7.907111e-05	1.452932e-02	0	0	7.300424e+00	6.895369e+01	GRIA1;NLGN3;GRIA2;NLGN1;GRIN2A;NLGN4X;NLGN2;DLG4;NRXN1;GRIA3;GRIA4
WikiPathways_2024_Human	Cell Type Dependent Selectivity Of CCK2R Signaling WP3679	9/13	1.725893e-04	2.537063e-02	0	0	8.956267e+00	7.760243e+01	RYR1;RYR2;CCKBR;CNR1;TRPC1;ITPR1;CCK;RYR3;GNAI1
WikiPathways_2024_Human	Disruption Of Postsynaptic Signaling By CNV WP4875	16/33	2.395647e-04	2.934668e-02	0	0	3.749905e+00	3.126178e+01	CAMK2B;NLGN3;RYR2;NLGN1;NLGN2;NLGN4X;NRXN1;CAMK2A;NRXN3;NRXN2;RPH3A;GRIN2A;ARC;SYNGAP1;DLG2;CAMK2G
WikiPathways_2024_Human	GPCRs Class A Rhodopsin Like WP455	75/259	3.937328e-04	3.392129e-02	0	0	1.631054e+00	1.278720e+01	GPR27;CHRM2;PTGDR2;CHRM4;GPR22;CHRM5;NPY2R;MLNR;HTR2B;GPR20;ADRA1D;HTR2A;HTR4;ADRA1A;GPR173;HTR7;EDNRB;CCKAR;ADORA3;GPER1;FFAR3;PRLHR;FFAR1;CCR6;LHCGR;PTGIR;AVPR1B;OR2H2;AVPR2;NPY1R;AVPR1A;SSTR2;ADRA2B;SSTR4;CCKBR;ADRB3;ADORA2A;GPR161;FSHR;OR7A5;AGTR1;AGTR2;PTGFR;OR1E1;GPR87;PTGER3;OPRL1;ADRB1;LPAR4;ADRB2;OR2S2;HRH3;P2RY4;GALR2;CNR1;GALR1;P2RY1;RHO;NTSR1;CCR10;NTSR2;P2RY12;GPR17;MAS1L;OPN4;GPR15;P2RY11;GPR12;HTR1E;P2RY14;NMBR;HTR5A;OPN1SW;MC1R;RGL4
WikiPathways_2024_Human	Abnormal Ca Handling And Effects On Muscle Contraction In DMD WP5343	9/14	3.967461e-04	3.392129e-02	0	0	7.164565e+00	5.611441e+01	RYR1;DTNA;SGCA;PLA2G4B;SSPN;CAPN3;DMD;CASQ1;TRDN
WikiPathways_2024_Human	Phosphodiesterases In Neuronal Function WP4222	22/54	4.153628e-04	3.392129e-02	0	0	2.740719e+00	2.134022e+01	GRIA1;PDE1C;PDE1B;PDE4D;PDE1A;PDE3B;PDE4C;CAMK2A;PDE2A;ADCY4;ADCY2;ADCY5;GRIN2A;ADORA2A;PDE3A;PDE5A;NOS1;PDE6A;PDE7B;PDE8B;PRKG1;PDE9A
WikiPathways_2024_Human	Fatty Acid Omega Oxidation WP206	10/17	5.135317e-04	3.774458e-02	0	0	5.686868e+00	4.307347e+01	CYP2A6;ADH1C;ADH1B;ADH1A;CYP4A11;ALDH1A1;CYP1A1;CYP2E1;CYP3A4;ADH7
