Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Human	Pancreatic Cancer Subtypes WP5390	29/48	4.554461e-15	3.188123e-12	0	0	1.090858e+01	3.602303e+02	CTSV;AREG;CST6;SCEL;TSPAN8;AGR2;TNS4;CTSE;KRT6A;FAM83A;SPINK4;SERPINB3;SERPINB4;S100A2;REG4;KRT7;ANXA10;LEMD1;KRT17;CEACAM6;KRT15;TFF3;LY6D;TFF2;TFF1;CDH17;VGLL1;CLRN3;SPRR1B
WikiPathways_2024_Human	Overview Of Proinflammatory And Profibrotic Mediators WP5095	49/129	1.058339e-13	3.704187e-11	0	0	4.398199e+00	1.314046e+02	IL21;CXCL6;IL22;IL1RN;CXCL9;CSF2;CXCL8;CCL4L2;CXCL17;CXCL1;CXCL13;CXCL3;AREG;CXCL2;CXCL5;IL36B;IL12B;PF4V1;IL11;MMP1;MMP3;IL19;MMP9;IL1A;IFNG;IL23A;IL1B;CCL3L3;IFNL1;CCL4;CCL3;SPP1;IL36RN;CCL1;CCL17;CCL25;CCL24;CCL22;CCL20;IL37;OSM;PPBP;CXCL10;CXCL11;IL17F;IL17C;CCL26;PF4;IL17A
WikiPathways_2024_Human	Cytokine Cytokine Receptor Interaction WP5473	62/255	1.054356e-07	2.460165e-05	0	0	2.304151e+00	3.701657e+01	IL21;IL22;CXCL6;IL1RN;CXCL9;CSF2;CXCL8;IL23R;CCL4L2;CXCL17;CXCL1;CXCL13;CXCL3;CXCL2;CXCL5;IL36B;TNFSF11;CCR8;IL13RA2;CCR4;PF4V1;CCR3;IL11;TNFRSF12A;IL19;PRLR;EDAR;IL1A;IFNG;IL23A;IL20RA;CXCR4;TNFRSF11B;IFNL1;CXCR2;CCL4;IL21R;CCL3;IL36RN;CCL1;CCL25;CCL24;TGFB2;CCL22;CCL20;GDF15;CD70;IL37;TNFRSF9;PPBP;INHBA;BMP7;BMP4;CXCL10;CXCL11;TNFSF9;IL17F;IL7R;IL17C;CCL26;PF4;IL17A
WikiPathways_2024_Human	Hair Follicle Development Cytodifferentiation Stage 3 Of 3 WP2840	29/87	2.997159e-07	5.245029e-05	0	0	3.565537e+00	5.355590e+01	DLX3;LEF1;KLK5;HOXC12;KLK7;KLK6;FOXQ1;WIF1;PERP;KRTAP3-3;SOX9;MSX1;PHLDA1;GSDMA;MSX2;BCL11B;WNT5A;FOS;DKK1;FOXN1;ADAMTS20;DKK4;BMP4;IFNG;LHX2;KRT15;GJB6;DSG4;LGR5
WikiPathways_2024_Human	Immune Infiltration In Pancreatic Cancer WP5285	15/39	3.226392e-05	4.272389e-03	0	0	4.440215e+00	4.591876e+01	TGFB2;CSF2;CXCL8;CCL20;REG4;CXCL1;MMP9;CXCL5;IFNG;IL23A;IL1B;IL12B;IL17F;IL17C;IL17A
WikiPathways_2024_Human	Gastric Cancer Network 1 WP2361	12/27	3.662048e-05	4.272389e-03	0	0	5.679481e+00	5.801535e+01	TOP2A;TPX2;ESM1;CENPF;UBE2C;RUVBL1;MCM4;MYBL2;S100P;KIF20B;KIF15;AURKA
WikiPathways_2024_Human	Lung Fibrosis WP3624	20/63	4.476658e-05	4.476658e-03	0	0	3.307473e+00	3.312119e+01	DSP;CALCA;CEBPB;CSF2;CXCL8;EGF;MMP2;ATP11A;CXCL2;MMP9;BMP7;TERT;PLAU;IL1B;CCL4;CCL3;SPP1;IL12B;TIMP1;CCR3
WikiPathways_2024_Human	Matrix Metalloproteinases WP129	12/30	1.274173e-04	1.114901e-02	0	0	4.732090e+00	4.243759e+01	MMP12;MMP11;MMP7;MMP13;MMP1;MMP2;MMP3;TIMP1;MMP8;MMP9;MMP10;MMP20
WikiPathways_2024_Human	Vitamin D Receptor Pathway WP2877	41/186	1.544781e-04	1.134680e-02	0	0	2.016207e+00	1.769314e+01	CEBPA;TNFRSF11B;CLDN2;TREM1;CST6;KLK6;CYP27B1;THBD;SULT1C2;CST1;CYP2B6;CCND1;MYC;SALL4;CREG2;SPP1;TNFSF11;CA9;KRTAP4-1;JUNB;FGF23;SULT2A1;IGFBP1;S100G;TGFB2;SERPINB1;S100A2;CDX2;CDKN2A;KRT34;HNF1A;CYP24A1;CCNE1;KRT38;KRT16;CYP2S1;ID1;IRF8;DEFB4A;SPRR1B;NOX1
WikiPathways_2024_Human	Photodynamic Therapy Induced NF kB Survival Signaling WP3617	13/35	1.636674e-04	1.134680e-02	0	0	4.195095e+00	3.657147e+01	CSF2;CXCL8;BCL2A1;MMP1;MMP2;MMP3;CXCL2;MMP9;ICAM1;IL1A;CCND1;IL1B;BIRC5
