Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myogenesis	27/200	7.189625e-06	3.163435e-04	0	0	2.844099e+00	3.368230e+01	CFD;HSPB8;AK1;FHL1;PSEN2;HSPB2;PYGM;LDB3;FOXO4;CACNA1H;MYLK;EFS;SPEG;CKB;MEF2D;SH3BGR;PDLIM7;SH2B1;GSN;DMPK;TPM2;SMTN;DES;FXYD1;SSPN;CASQ2;MAPRE3
MSigDB_Hallmark_2020	Apical Surface	5/44	8.106205e-02	9.999785e-01	0	0	2.303793e+00	5.788372e+00	GSTM3;MAL;SLC2A4;MDGA1;TMEM8B
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	4/42	1.800499e-01	9.999785e-01	0	0	1.889839e+00	3.240168e+00	FZD1;WNT6;PSEN2;GNAI1
MSigDB_Hallmark_2020	Notch Signaling	3/32	2.380600e-01	9.999785e-01	0	0	1.856376e+00	2.664331e+00	FZD1;FZD7;PSEN2
MSigDB_Hallmark_2020	Adipogenesis	11/200	4.901287e-01	9.999785e-01	0	0	1.043502e+00	7.441078e-01	BCKDHA;CDKN2C;DDT;HSPB8;PTGER3;SSPN;SPARCL1;SNCG;UQCR11;ALDOA;MYLK
MSigDB_Hallmark_2020	Apical Junction	11/200	4.901287e-01	9.999785e-01	0	0	1.043502e+00	7.441078e-01	CLDN5;CADM3;RRAS;NEGR1;CADM2;SPEG;FLNC;MYL9;GNAI1;TMEM8B;JAM3
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	5/105	6.572019e-01	9.999785e-01	0	0	8.955798e-01	3.759322e-01	DUSP3;MKNK1;CSNK2B;AKT1S1;PIN1
MSigDB_Hallmark_2020	heme Metabolism	9/200	7.357963e-01	9.999785e-01	0	0	8.431318e-01	2.586744e-01	RBM38;PSMD9;BSG;MXI1;ASNS;ACKR1;LRP10;EZH1;TNS1
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	7.393288e-01	9.999785e-01	0	0	7.621660e-01	2.301837e-01	EGLN2;SRXN1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	3/74	7.569951e-01	9.999785e-01	0	0	7.565545e-01	2.106236e-01	GSTM2;SEMA3B;GNAI1
MSigDB_Hallmark_2020	Myc Targets V2	2/58	8.187508e-01	9.999785e-01	0	0	6.393703e-01	1.278584e-01	NOP2;IPO4
MSigDB_Hallmark_2020	Coagulation	5/138	8.601127e-01	9.999785e-01	0	0	6.721890e-01	1.012934e-01	CFD;GSN;CSRP1;P2RY1;S100A13
MSigDB_Hallmark_2020	UV Response Dn	5/144	8.833577e-01	9.999785e-01	0	0	6.429685e-01	7.974424e-02	ARHGEF9;IGFBP5;CELF2;KCNMA1;LPAR1
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	8.862872e-01	9.999785e-01	0	0	4.590132e-01	5.540942e-02	PCSK2
MSigDB_Hallmark_2020	DNA Repair	5/150	9.032162e-01	9.999785e-01	0	0	6.161663e-01	6.272163e-02	POLD4;TAF10;AK1;SUPT4H1;NME3
MSigDB_Hallmark_2020	Oxidative Phosphorylation	7/200	9.090751e-01	9.999785e-01	0	0	6.476684e-01	6.174063e-02	BCKDHA;NDUFB8;NDUFA7;NDUFS7;UQCR11;MRPL34;NDUFV2
MSigDB_Hallmark_2020	p53 Pathway	7/200	9.090751e-01	9.999785e-01	0	0	6.476684e-01	6.174063e-02	SERTAD3;NINJ1;AK1;TAX1BP3;NUPR1;RALGDS;MXD4
MSigDB_Hallmark_2020	KRAS Signaling Up	7/200	9.090751e-01	9.999785e-01	0	0	6.476684e-01	6.174063e-02	TMEM100;RBM4;PCSK1N;PEG3;EPB41L3;SEMA3B;SPARCL1
MSigDB_Hallmark_2020	UV Response Up	5/158	9.250743e-01	9.999785e-01	0	0	5.836999e-01	4.545924e-02	BSG;ASNS;WIZ;NPTXR;ALDOA
MSigDB_Hallmark_2020	Spermatogenesis	4/135	9.309345e-01	9.999785e-01	0	0	5.455007e-01	3.903950e-02	POMC;GSTM3;PCSK1N;JAM3
MSigDB_Hallmark_2020	Apoptosis	5/161	9.320676e-01	9.999785e-01	0	0	5.723835e-01	4.026716e-02	GSN;PSEN2;TIMP2;IGFBP6;BCL2L2
MSigDB_Hallmark_2020	Hypoxia	6/200	9.565212e-01	9.999785e-01	0	0	5.517279e-01	2.452559e-02	NDST2;MXI1;IDS;PYGM;B3GALT6;ALDOA
MSigDB_Hallmark_2020	Estrogen Response Late	6/200	9.565212e-01	9.999785e-01	0	0	5.517279e-01	2.452559e-02	HSPB8;PTGER3;SEMA3B;PGR;CKB;NBL1
MSigDB_Hallmark_2020	Complement	6/200	9.565212e-01	9.999785e-01	0	0	5.517279e-01	2.452559e-02	GNG2;CSRP1;KCNIP3;S100A13;TIMP2;CALM1
MSigDB_Hallmark_2020	mTORC1 Signaling	6/200	9.565212e-01	9.999785e-01	0	0	5.517279e-01	2.452559e-02	MLLT11;FKBP2;IGFBP5;ASNS;NUPR1;ALDOA
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4/158	9.702818e-01	9.999785e-01	0	0	4.634625e-01	1.398205e-02	AOC3;TP53INP2;ALDOA;CBR3
MSigDB_Hallmark_2020	Androgen Response	2/100	9.714213e-01	9.999785e-01	0	0	3.645420e-01	1.056992e-02	HERC3;GPD1L
MSigDB_Hallmark_2020	Mitotic Spindle	5/199	9.818890e-01	9.999785e-01	0	0	4.593362e-01	8.395281e-03	GSN;CDC42EP4;PXN;CDC42EP2;KLC1
