Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Negative Regulation of Blood Coagulation (GO:0030195)	11/31	1.280162e-10	2.632013e-07	0	0	2.168269e+01	4.939071e+02	FGB;VTN;FGA;CPB2;PROC;APOH;F12;FGG;SERPINF2;PLG;APOE
GO_Biological_Process_2025	High-Density Lipoprotein Particle Remodeling (GO:0034375)	8/20	1.507995e-08	1.550218e-05	0	0	2.613414e+01	4.706732e+02	CETP;SCARB1;APOM;LIPC;APOC1;APOA2;APOA1;APOE
GO_Biological_Process_2025	Cholesterol Efflux (GO:0033344)	8/23	5.490298e-08	2.424075e-05	0	0	2.090409e+01	3.494683e+02	SCARB1;ABCG5;APOM;APOC1;APOA2;APOA1;APOE;APOA5
GO_Biological_Process_2025	Cholesterol Transport (GO:0030301)	11/52	5.655076e-08	2.424075e-05	0	0	1.056552e+01	1.763187e+02	SCARB1;CETP;ABCG5;LIPC;APOM;APOC1;APOA2;APOA1;APOE;APOB;APOA5
GO_Biological_Process_2025	Reverse Cholesterol Transport (GO:0043691)	7/16	5.895124e-08	2.424075e-05	0	0	3.043329e+01	5.066094e+02	CETP;SCARB1;APOM;LIPC;APOA2;APOA1;APOE
GO_Biological_Process_2025	Cholesterol Homeostasis (GO:0042632)	13/80	9.792548e-08	3.348221e-05	0	0	7.661813e+00	1.236545e+02	SCARB1;CETP;ABCG5;APOA2;APOA1;APOA5;CYP7A1;CYP39A1;LIPC;APOM;ANGPTL3;APOE;APOB
GO_Biological_Process_2025	Sterol Homeostasis (GO:0055092)	13/81	1.139959e-07	3.348221e-05	0	0	7.548751e+00	1.206827e+02	SCARB1;CETP;ABCG5;APOA2;APOA1;APOA5;CYP7A1;CYP39A1;LIPC;APOM;ANGPTL3;APOE;APOB
GO_Biological_Process_2025	Steroid Metabolic Process (GO:0008202)	14/106	4.516522e-07	1.160746e-04	0	0	6.013504e+00	8.785942e+01	SRD5A2;HSD17B4;AKR1C4;BAAT;CYP7A1;CYP8B1;CYP39A1;HSD11B1;CYP2C8;CYP2A6;RDH16;CYP2E1;GC;SLC27A5
GO_Biological_Process_2025	Sterol Metabolic Process (GO:0016125)	10/58	1.695274e-06	3.872759e-04	0	0	8.184764e+00	1.087564e+02	CYP39A1;CETP;ANGPTL3;APOF;APOA1;APOE;APOB;APOA5;CYP7A1;CYP8B1
GO_Biological_Process_2025	Acylglycerol Homeostasis (GO:0055090)	7/26	2.722065e-06	5.596566e-04	0	0	1.440837e+01	1.846306e+02	CETP;SCARB1;LIPC;ANGPTL3;APOA1;APOE;APOA5
GO_Biological_Process_2025	Protein N-linked Glycosylation via Asparagine (GO:0018279)	8/37	3.167353e-06	5.890861e-04	0	0	1.080469e+01	1.368156e+02	DPM1;ALG8;OSTC;ALG5;ALG2;STT3A;STT3B;UGGT1
GO_Biological_Process_2025	Zymogen Activation (GO:0031638)	7/27	3.595198e-06	5.890861e-04	0	0	1.368725e+01	1.715821e+02	FGB;FGA;F12;FGG;FURIN;HPR;HGFAC
GO_Biological_Process_2025	Triglyceride Metabolic Process (GO:0006641)	9/50	3.875522e-06	5.890861e-04	0	0	8.609658e+00	1.072835e+02	CETP;LIPC;APOH;APOC1;APOA2;PNPLA3;APOE;APOB;APOA5
GO_Biological_Process_2025	Monocarboxylic Acid Biosynthetic Process (GO:0072330)	10/64	4.297807e-06	5.890861e-04	0	0	7.273101e+00	8.987666e+01	CYP39A1;LIPC;ACSM2A;AKR1C4;BAAT;CYP7A1;CYP8B1;ACSM2B;SLC27A5;ACMSD
GO_Biological_Process_2025	Protein N-linked Glycosylation (GO:0006487)	10/64	4.297807e-06	5.890861e-04	0	0	7.273101e+00	8.987666e+01	DPM1;ALG8;RPN2;OSTC;ALG5;PGM3;ALG2;STT3A;STT3B;UGGT1
GO_Biological_Process_2025	Organic Hydroxy Compound Transport (GO:0015850)	9/51	4.601790e-06	5.913300e-04	0	0	8.404234e+00	1.032802e+02	ABCG5;RBP4;ABCC2;SLC10A1;SLC22A1;AKR1C4;SLC27A5;SLC29A3;STRA6
