Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myc Targets V2	2/58	1.668503e-01	9.226142e-01	0	0	2.801793e+00	5.017054e+00	WDR74;WDR43
MSigDB_Hallmark_2020	KRAS Signaling Dn	4/200	2.476788e-01	9.226142e-01	0	0	1.602410e+00	2.236359e+00	FGGY;PLAG1;SPTBN2;TAS2R4
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	4.653846e-01	9.226142e-01	0	0	1.190863e+00	9.108804e-01	CBX8;RELN;ETV4
MSigDB_Hallmark_2020	DNA Repair	2/150	5.681187e-01	9.226142e-01	0	0	1.055185e+00	5.966277e-01	UPF3B;HPRT1
MSigDB_Hallmark_2020	UV Response Up	2/158	5.964287e-01	9.226142e-01	0	0	1.000664e+00	5.171387e-01	POLG2;HNRNPU
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	6.108552e-01	9.226142e-01	0	0	1.069472e+00	5.271376e-01	MVK
MSigDB_Hallmark_2020	Protein Secretion	1/96	7.062640e-01	9.226142e-01	0	0	8.208855e-01	2.854762e-01	ARFGEF1
MSigDB_Hallmark_2020	Mitotic Spindle	2/199	7.197362e-01	9.226142e-01	0	0	7.907456e-01	2.600529e-01	ARFGEF1;TRIO
MSigDB_Hallmark_2020	Androgen Response	1/100	7.209174e-01	9.226142e-01	0	0	7.875581e-01	2.577132e-01	ELK4
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	RBL1;HNRNPU
MSigDB_Hallmark_2020	Interferon Gamma Response	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	AUTS2;HLA-G
MSigDB_Hallmark_2020	mTORC1 Signaling	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	SLC6A6;HPRT1
MSigDB_Hallmark_2020	E2F Targets	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	PNN;MMS22L
MSigDB_Hallmark_2020	Myc Targets V1	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	HNRNPU;HPRT1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	SLC6A6;HPRT1
MSigDB_Hallmark_2020	p53 Pathway	2/200	7.223054e-01	9.226142e-01	0	0	7.867117e-01	2.559230e-01	FBXW7;PVT1
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	7.636952e-01	9.226142e-01	0	0	6.956845e-01	1.875471e-01	DCP2
MSigDB_Hallmark_2020	UV Response Dn	1/144	8.411571e-01	9.226142e-01	0	0	5.440115e-01	9.410140e-02	CDK13
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	8.672685e-01	9.226142e-01	0	0	4.951471e-01	7.051223e-02	XIST
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	9.216127e-01	9.226142e-01	0	0	3.917949e-01	3.198231e-02	ETV4
MSigDB_Hallmark_2020	Hypoxia	1/200	9.226142e-01	9.226142e-01	0	0	3.898062e-01	3.139658e-02	SLC6A6
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	9.226142e-01	9.226142e-01	0	0	3.898062e-01	3.139658e-02	HPRT1
MSigDB_Hallmark_2020	Complement	1/200	9.226142e-01	9.226142e-01	0	0	3.898062e-01	3.139658e-02	VCPIP1
MSigDB_Hallmark_2020	heme Metabolism	1/200	9.226142e-01	9.226142e-01	0	0	3.898062e-01	3.139658e-02	TNRC6B
MSigDB_Hallmark_2020	Allograft Rejection	1/200	9.226142e-01	9.226142e-01	0	0	3.898062e-01	3.139658e-02	HLA-G
